Wall time,Step,Value
1712339092,2048,-61.4880867
1712339341,4096,-57.01914978
1712339604,6144,-55.04916
1712339825,8192,-50.99905396
1712340017,10240,-48.80618668
1712340213,12288,-39.02545929
1712340390,14336,-34.48630905
1712340624,16384,-31.5276165
1712340831,18432,-17.96327209
1712341050,20480,-12.13883209
1712341201,22528,-2.230021
1712341381,24576,6.53753233
1712341568,26624,24.34348869
1712341742,28672,34.79434204
1712341910,30720,43.42796326
1712342109,32768,63.74435806
1712342283,34816,72.98745728
1712342490,36864,86.4417572
1712342658,38912,93.00675964
1712342854,40960,104.9442062
1712343032,43008,108.2484436
1712343239,45056,120.6980896
1712343436,47104,144.2572021
1712343630,49152,156.4893646
1712343825,51200,176.109375
1712344015,53248,187.697403
1712344216,55296,191.8478088
1712344385,57344,197.5805817
1712344573,59392,196.2284393
1712344792,61440,204.1659088
1712344966,63488,201.221756
1712345153,65536,212.1450958
1712345332,67584,225.3577423
1712345540,69632,226.4763947
1712345734,71680,232.7541809
1712345914,73728,224.4999084
1712346127,75776,224.8161621
1712346346,77824,224.8423309
1712346558,79872,222.6997375
1712346745,81920,229.0676727
1712346946,83968,239.0053253
1712347163,86016,247.2623291
1712347345,88064,232.3078918
1712347548,90112,229.2763519
1712347729,92160,232.4497223
1712347921,94208,213.9064789
1712348120,96256,221.7549133
1712348329,98304,216.4252014
1712348546,100352,217.5056763
1712348744,102400,213.9606171
1712348929,104448,219.223999
1712349099,106496,214.1701813
1712349299,108544,217.1903687
1712349519,110592,220.81987
1712349742,112640,219.4578094
1712349956,114688,220.4452667
1712350152,116736,237.8516083
1712350332,118784,227.5896454
1712350506,120832,222.9469604
1712350710,122880,222.1257019
1712350870,124928,210.3406677
1712351062,126976,213.5814667
1712351255,129024,215.4273834
1712351438,131072,213.3024292
1712351594,133120,211.8433075
1712351781,135168,215.1956329
1712351959,137216,204.7556458
1712352162,139264,212.9172058
1712352350,141312,212.7085724
1712352521,143360,215.0675049
1712352717,145408,227.8885498
1712352905,147456,234.2409363
1712353131,149504,237.9524841
1712353307,151552,248.0243073
1712353474,153600,242.8673553
1712353659,155648,246.4057159
1712353843,157696,244.2730865
1712354019,159744,235.9874573
1712354216,161792,246.1194916
1712354407,163840,245.9213562
1712354575,165888,235.2985382
1712354753,167936,241.2458801
1712354943,169984,248.3441315
1712355113,172032,245.1742554
1712355290,174080,253.0437622
1712355479,176128,252.7721863
1712355670,178176,266.8945313
1712355854,180224,279.0612488
1712356029,182272,279.0322571
1712356215,184320,281.3594666
1712356425,186368,280.466156
1712356597,188416,267.7185974
1712356806,190464,271.8459778
1712357017,192512,270.8582764
1712357198,194560,266.4284363
1712357378,196608,283.3490601
1712357558,198656,272.6956177
1712357753,200704,268.680481
1712357948,202752,279.0398865
1712358123,204800,275.1539001
1712358324,206848,289.1286011
1712358522,208896,306.3188477
1712358696,210944,303.0960693
1712358888,212992,302.9073792
1712359100,215040,308.9543152
1712359273,217088,292.1360474
1712359451,219136,293.9976196
1712359656,221184,300.6219177
1712359833,223232,284.7223816
1712360010,225280,289.2592468
1712360212,227328,290.1203308
1712360390,229376,274.7922668
1712360580,231424,284.0492859
1712360770,233472,289.8124695
1712360980,235520,291.7372742
1712361161,237568,294.1332092
1712361345,239616,283.6451111
1712361540,241664,281.1380615
1712361742,243712,290.7589417
1712361927,245760,295.808197
1712362126,247808,307.4719238
1712362313,249856,309.7123108
1712362507,251904,307.3492737
1712362710,253952,306.2640991
1712362904,256000,311.120636
1712363087,258048,316.5760803
1712363273,260096,301.0548401
1712363469,262144,308.2073669
1712363646,264192,297.222229
1712363835,266240,297.6441345
1712364011,268288,299.0223694
1712364198,270336,303.9985352
1712364412,272384,308.8724976
1712364602,274432,306.5441589
1712364793,276480,317.4330444
1712365019,278528,318.9604187
1712365217,280576,325.0854187
1712365401,282624,329.7929077
1712365590,284672,324.3569641
1712365779,286720,320.9775696
1712365956,288768,303.8614807
1712366160,290816,303.4708252
1712366359,292864,315.8485413
1712366548,294912,315.5335693
1712366731,296960,320.0057373
1712366924,299008,317.6356201
1712367103,301056,319.5734863
1712367296,303104,316.0927124
1712367473,305152,313.6500854
1712367677,307200,314.1720581
1712367874,309248,313.1231384
1712368060,311296,316.5151062
1712368253,313344,321.0173035
1712368459,315392,312.6061707
1712368654,317440,311.9417419
1712368851,319488,312.6294556
1712369055,321536,312.6631775
1712369273,323584,328.3473206
1712369465,325632,326.8569031
1712369650,327680,326.7710266
1712369856,329728,323.1495972
1712370063,331776,327.4266663
1712370263,333824,324.8773193
1712370440,335872,311.7115784
1712370617,337920,293.6377258
1712370818,339968,293.5886536
1712371019,342016,296.832428
1712371218,344064,309.8792725
1712371415,346112,330.9708557
1712371630,348160,336.863739
1712371813,350208,339.4427185
1712372020,352256,340.3394165
1712372221,354304,335.6753235
1712372388,356352,326.1715088
1712372593,358400,317.5454712
1712372810,360448,315.2709656
1712372995,362496,314.0448608
1712373204,364544,315.6221008
1712373373,366592,300.4102783
1712373585,368640,299.1590881
1712373770,370688,296.0924988
1712373969,372736,291.3122864
1712374180,374784,321.60672
1712374388,376832,320.8649597
1712374580,378880,320.4905701
1712374776,380928,329.3543091
1712374982,382976,330.3682251
1712375169,385024,329.7467651
1712375393,387072,339.4894104
1712375631,389120,335.9753723
1712375832,391168,334.6429749
1712376022,393216,329.5401611
1712376216,395264,319.8621826
1712376427,397312,309.5707092
1712376629,399360,308.6657715
1712376822,401408,309.3973389
1712377000,403456,308.177002
1712377198,405504,312.6657715
1712377385,407552,313.5464172
1712377570,409600,320.7702332
1712377748,411648,323.757843
1712377943,413696,323.8147278
1712378131,415744,329.1591492
1712378336,417792,332.215271
1712378540,419840,343.6914673
1712378740,421888,342.6256714
1712378919,423936,340.4356384
1712379093,425984,322.1289368
1712379279,428032,328.3289795
1712379481,430080,331.6118774
1712379669,432128,346.7752075
1712379872,434176,359.5233765
1712380054,436224,350.5831604
1712380261,438272,351.627533
1712380439,440320,353.3218689
1712380631,442368,355.2279663
1712380821,444416,362.6011353
1712381027,446464,362.1542053
1712381220,448512,373.5178528
1712381395,450560,372.8809509
1712381589,452608,364.3156433
1712381779,454656,364.5413513
1712381956,456704,348.4731445
1712382138,458752,352.9796753
1712382328,460800,353.3436279
1712382518,462848,360.2590027
1712382724,464896,370.0542603
1712382921,466944,366.9052124
1712383115,468992,366.8961487
1712383309,471040,367.5390625
1712383509,473088,367.0016174
1712383704,475136,364.8620605
1712383909,477184,360.8535156
1712384111,479232,366.1582642
1712384305,481280,355.9929199
1712384504,483328,370.7814331
1712384713,485376,369.8794861
1712384899,487424,368.7869568
1712385102,489472,383.6951904
1712385299,491520,380.306427
1712385473,493568,357.0680237
1712385663,495616,361.3218079
1712385854,497664,351.8345337
1712386046,499712,344.8671875
1712386230,501760,358.4594116
1712386419,503808,358.2590027
1712386619,505856,362.3111572
1712386812,507904,369.1599121
1712387000,509952,376.1969604
1712387181,512000,381.734375
1712406231,514048,377.9012756
1712406412,516096,383.1918335
1712406593,518144,376.4614258
1712406786,520192,379.4221802
1712406988,522240,386.9565125
1712407165,524288,380.9384155
1712407346,526336,388.2051392
1712407538,528384,394.5718079
1712407713,530432,392.5850525
1712407886,532480,390.5698547
1712408085,534528,388.4836121
1712408271,536576,388.1332703
1712408458,538624,393.0092468
1712408644,540672,401.9064636
1712408828,542720,396.7530823
1712409008,544768,390.740448
1712409189,546816,384.6263123
1712409366,548864,373.1842957
1712409545,550912,377.1542053
1712409721,552960,386.6806946
1712409900,555008,392.8309326
1712410101,557056,389.3494568
1712410305,559104,399.8881836
1712410505,561152,401.7107849
1712410694,563200,399.2230835
1712410881,565248,399.4980164
1712411060,567296,381.6550903
1712411242,569344,373.6723022
